epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,772.157,2.06061,6.7284,0.01103,0.55453,0.21174,0.18408,0.06933,2.19234,6.70522,0.01217,0.000683554,0.000683554,0.000683554
65,783.8,2.05379,6.76065,0.01101,0.56413,0.22419,0.18648,0.06672,2.23248,7.75061,0.01266,0.000677806,0.000677806,0.000677806
66,795.581,2.07905,6.58693,0.01149,0.57356,0.23285,0.17553,0.06151,nan,nan,nan,0.000672,0.000672,0.000672
67,807.236,2.09181,6.73212,0.01151,0.57829,0.18406,0.16114,0.06024,nan,nan,nan,0.000666138,0.000666138,0.000666138
68,819.09,2.03372,6.48343,0.01038,0.4192,0.19938,0.20286,0.08552,nan,nan,nan,0.000660222,0.000660222,0.000660222
69,830.693,2.04906,6.44287,0.01101,0.43734,0.20812,0.20161,0.06384,nan,nan,nan,0.000654252,0.000654252,0.000654252
70,842.002,2.05839,6.42191,0.01115,0.67402,0.202,0.2132,0.07267,2.15823,7.02335,0.01206,0.00064823,0.00064823,0.00064823
71,853.463,2.05173,6.33496,0.0109,0.68224,0.22417,0.22044,0.07584,2.12453,6.85781,0.01186,0.000642158,0.000642158,0.000642158
72,865.207,2.07153,6.51475,0.01119,0.67414,0.20953,0.18903,0.07115,2.15601,6.7619,0.01201,0.000636038,0.000636038,0.000636038
73,876.924,2.08839,6.6312,0.01121,0.67762,0.20984,0.1996,0.07622,2.13814,6.66924,0.01196,0.000629869,0.000629869,0.000629869
74,888.881,2.0445,6.41949,0.01081,0.67823,0.23163,0.23108,0.08801,2.14748,6.55886,0.01196,0.000623656,0.000623656,0.000623656
75,900.6,2.07439,6.62804,0.01138,0.66819,0.21997,0.18765,0.07114,2.10037,6.68988,0.01169,0.000617398,0.000617398,0.000617398
76,912.406,2.02876,6.54313,0.01147,0.58034,0.23245,0.18801,0.06755,2.14873,7.02334,0.01223,0.000611097,0.000611097,0.000611097
77,923.547,2.04373,6.52749,0.01118,0.58039,0.23005,0.22298,0.08633,2.18168,7.23884,0.01195,0.000604755,0.000604755,0.000604755
78,934.88,2.0573,6.51317,0.01128,0.54048,0.21998,0.16769,0.06092,2.19532,7.10108,0.01245,0.000598374,0.000598374,0.000598374
79,946.664,2.08174,6.35045,0.0112,0.66099,0.20336,0.17052,0.06338,2.19494,7.41367,0.01237,0.000591954,0.000591954,0.000591954
80,958.377,2.05185,6.33394,0.01137,0.67825,0.21568,0.19384,0.0701,nan,nan,nan,0.000585498,0.000585498,0.000585498
81,969.966,2.06209,6.40743,0.01125,0.66522,0.20457,0.18766,0.06536,nan,nan,nan,0.000579008,0.000579008,0.000579008
82,981.535,2.05208,6.43904,0.01096,0.67443,0.16676,0.16499,0.06043,nan,nan,nan,0.000572484,0.000572484,0.000572484
83,993.306,2.02884,6.3179,0.01042,0.66866,0.19281,0.19877,0.07358,2.09232,6.98447,0.01172,0.000565929,0.000565929,0.000565929
84,1004.65,2.04506,6.32175,0.01085,0.68962,0.24588,0.20194,0.07622,2.10515,6.67841,0.01192,0.000559343,0.000559343,0.000559343
85,1015.92,2.03463,6.07509,0.01096,0.69088,0.21567,0.18425,0.06854,2.12172,6.75422,0.01204,0.000552729,0.000552729,0.000552729
86,1027.89,2.05143,6.11965,0.01061,0.66424,0.19741,0.17132,0.06386,2.10225,7.10516,0.01179,0.000546089,0.000546089,0.000546089
