epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1078.36,2.09178,4.72125,0.00987,0.28292,0.38192,0.27314,0.10611,2.03363,4.16407,0.01099,0.000239766,0.000239766,0.000239766
70,1093.57,2.08411,4.8597,0.00968,0.27693,0.38567,0.26851,0.10676,2.03317,4.04602,0.01096,0.000226769,0.000226769,0.000226769
71,1108.73,2.05484,5.20527,0.00944,0.27816,0.39384,0.27268,0.10941,2.03636,3.97698,0.011,0.000214046,0.000214046,0.000214046
72,1123.93,2.0466,4.86672,0.0091,0.28104,0.51625,0.27565,0.10896,2.05105,4.62189,0.01119,0.000201611,0.000201611,0.000201611
73,1139.07,2.04408,4.69335,0.00898,0.26633,0.54789,0.26922,0.10403,2.06883,4.92013,0.01132,0.000189475,0.000189475,0.000189475
74,1154.32,2.02411,4.83844,0.00959,0.27001,0.42252,0.26724,0.10281,2.07074,4.50677,0.01133,0.000177651,0.000177651,0.000177651
75,1169.61,2.06911,4.90884,0.01045,0.26451,0.38199,0.27614,0.10814,2.03355,4.41445,0.01111,0.000166149,0.000166149,0.000166149
76,1184.87,2.09467,4.71806,0.00979,0.27938,0.40256,0.28355,0.10782,2.03196,4.46881,0.01109,0.000154982,0.000154982,0.000154982
77,1200.09,2.10243,4.87586,0.00942,0.29112,0.35972,0.28878,0.10875,2.03245,4.32083,0.01115,0.000144161,0.000144161,0.000144161
78,1215.17,1.94102,4.81519,0.00836,0.30387,0.39307,0.28387,0.10642,2.06853,4.35073,0.01145,0.000133695,0.000133695,0.000133695
79,1230.33,2.05195,4.57215,0.00968,0.30101,0.45118,0.2902,0.10957,2.06071,4.44898,0.01139,0.000123596,0.000123596,0.000123596
80,1245.76,2.05446,4.63202,0.00892,0.29909,0.45232,0.29029,0.11503,2.0458,4.36241,0.01116,0.000113873,0.000113873,0.000113873
81,1261.07,2.06078,5.02927,0.00932,0.29184,0.43951,0.28943,0.11446,2.02697,4.27394,0.01095,0.000104537,0.000104537,0.000104537
82,1276.24,1.99453,4.72906,0.00926,0.27741,0.42744,0.28473,0.11272,2.02903,4.32842,0.01094,9.55951e-05,9.55951e-05,9.55951e-05
83,1291.4,2.03447,4.43691,0.0091,0.28138,0.40731,0.27874,0.11087,2.03616,4.32796,0.01102,8.70577e-05,8.70577e-05,8.70577e-05
84,1306.61,2.03623,4.75401,0.00984,0.27745,0.41972,0.27893,0.11209,2.04419,4.29739,0.01111,7.89327e-05,7.89327e-05,7.89327e-05
85,1321.75,2.0932,4.6929,0.01061,0.27859,0.41233,0.2794,0.11178,2.05125,4.25537,0.01116,7.12282e-05,7.12282e-05,7.12282e-05
86,1337.08,2.07813,4.70111,0.01066,0.28575,0.39941,0.2785,0.10966,2.07502,4.13804,0.01132,6.39518e-05,6.39518e-05,6.39518e-05
87,1352.3,2.03081,4.78254,0.0089,0.29445,0.39201,0.28075,0.10979,2.0727,4.0808,0.01131,5.71106e-05,5.71106e-05,5.71106e-05
88,1367.51,2.12577,4.79783,0.01,0.28515,0.38455,0.28678,0.11318,2.06054,4.04698,0.01121,5.07115e-05,5.07115e-05,5.07115e-05
89,1382.73,2.03187,5.02795,0.00956,0.30464,0.38903,0.29576,0.11484,2.05083,4.04753,0.01113,4.47606e-05,4.47606e-05,4.47606e-05
90,1397.84,1.95141,4.48828,0.00894,0.30126,0.4066,0.29733,0.11741,2.04534,4.07998,0.01109,3.9264e-05,3.9264e-05,3.9264e-05
91,1414.67,1.84141,4.60034,0.01015,0.30152,0.42015,0.30372,0.12062,2.02193,4.17503,0.0109,3.4227e-05,3.4227e-05,3.4227e-05
92,1429.96,1.74395,4.52211,0.00923,0.29736,0.44232,0.30336,0.12009,2.01539,4.23918,0.01086,2.96546e-05,2.96546e-05,2.96546e-05
93,1444.92,1.69804,4.72411,0.00919,0.30476,0.44426,0.30334,0.11998,2.01434,4.25906,0.0109,2.55513e-05,2.55513e-05,2.55513e-05
94,1459.95,1.70749,4.26342,0.00862,0.29716,0.46262,0.30114,0.11899,2.01695,4.32243,0.01092,2.19212e-05,2.19212e-05,2.19212e-05
95,1474.95,1.73133,4.54468,0.0094,0.30246,0.45499,0.30171,0.11759,2.02302,4.37556,0.01099,1.87678e-05,1.87678e-05,1.87678e-05
96,1489.87,1.62454,3.97194,0.0081,0.30581,0.4615,0.30032,0.11656,2.03007,4.44026,0.01106,1.60943e-05,1.60943e-05,1.60943e-05
97,1504.96,1.84,4.53484,0.01059,0.30608,0.45851,0.29624,0.11608,2.01979,4.57117,0.01098,1.39032e-05,1.39032e-05,1.39032e-05
98,1520,1.80511,4.25312,0.00973,0.30383,0.45913,0.2956,0.11556,2.0239,4.59094,0.01097,1.21968e-05,1.21968e-05,1.21968e-05
99,1534.87,1.5761,4.06948,0.00882,0.30618,0.43784,0.29399,0.11493,2.01952,4.6303,0.011,1.09768e-05,1.09768e-05,1.09768e-05
100,1549.91,1.78734,4.40975,0.01042,0.31192,0.44762,0.29007,0.11431,2.02244,4.68765,0.01101,1.02443e-05,1.02443e-05,1.02443e-05
